video,method,CCC,MAE,RMSE,SNR_Time,Latency,DTW_Dist,IE_Err,PPI_MAE,gt_bpm_avg,est_bpm_avg,data_file
cohface_10_3,of_farneback,0.82,0.45,0.6,4.4453546292344805,875.0,0.3514991417951,0.11727601370840834,0.046085164835163894,,,data/cohface_10_3.pkl
cohface_10_3,of_farneback__kfstd,0.86,0.41,0.53,5.46624700072795,906.25,0.32596653011579646,0.06761230997179624,0.03125,,,data/cohface_10_3.pkl
cohface_10_3,of_farneback__robust_ossm_ekf,0.86,0.4,0.52,5.683591619668641,906.25,0.32755158565548975,0.07043239694443193,0.027403846153846168,,,data/cohface_10_3.pkl
cohface_10_3,DoF,0.5,0.72,0.92,0.6527623862799238,15156.25,0.3938573075711805,0.10299298383217159,1.8410256410256407,,,data/cohface_10_3.pkl
cohface_10_3,dof__kfstd,0.62,0.64,0.87,1.2130094524382957,-375.0,0.47338635449035754,0.13964372970599592,0.4089423076923073,,,data/cohface_10_3.pkl
cohface_10_3,dof__robust_ossm_ekf,0.52,0.67,0.98,0.1693914505049118,-375.0,0.4782339369742694,0.10092195857320896,0.8771776018099544,,,data/cohface_10_3.pkl
cohface_10_3,profile1D linear,0.87,0.41,0.5,5.962075368314776,906.25,0.33770719765876367,0.07303816400070018,0.06201923076923066,,,data/cohface_10_3.pkl
cohface_10_3,profile1d_linear__kfstd,0.88,0.4,0.5,6.111332908398245,937.5,0.34790330620634796,0.009809497446476856,0.04663461538461444,,,data/cohface_10_3.pkl
cohface_10_3,profile1d_linear__robust_ossm_ekf,0.89,0.38,0.47,6.607616317215054,906.25,0.3209143639344178,0.0008086361928889563,0.038942307692307665,,,data/cohface_10_3.pkl
cohface_10_3,profile1D quadratic,0.86,0.39,0.53,5.566053655034141,875.0,0.30289452201430644,0.24532512796699946,0.04608516483516478,,,data/cohface_10_3.pkl
cohface_10_3,profile1d_quadratic__kfstd,0.91,0.35,0.43,7.288682970595771,968.75,0.2787686552603962,0.011693622881566168,0.04278846153846061,,,data/cohface_10_3.pkl
cohface_10_3,profile1d_quadratic__robust_ossm_ekf,0.92,0.33,0.41,7.761479337234113,937.5,0.27001492630587604,0.05008292711685747,0.027403846153846168,,,data/cohface_10_3.pkl
cohface_10_3,profile1D cubic,0.86,0.4,0.53,5.469539748325052,875.0,0.30824252476345665,0.2529440888286518,0.04608516483516478,,,data/cohface_10_3.pkl
cohface_10_3,profile1d_cubic__kfstd,0.91,0.35,0.44,7.234129874524108,968.75,0.28183953549969976,0.017649281115786564,0.04278846153846061,,,data/cohface_10_3.pkl
cohface_10_3,profile1d_cubic__robust_ossm_ekf,0.91,0.33,0.41,7.715905062781515,937.5,0.2732551413435422,0.05861117775037117,0.027403846153846168,,,data/cohface_10_3.pkl
cohface_3_2,of_farneback,0.52,1.2,1.67,-2.79472996976915,-48281.25,0.9551624087408033,0.3281065547964016,0.7609768907563033,,,data/cohface_3_2.pkl
cohface_3_2,of_farneback__kfstd,0.59,0.7,0.9,0.9263828330326411,593.75,0.5871419258356805,0.1550804780680145,0.018749999999999822,,,data/cohface_3_2.pkl
cohface_3_2,of_farneback__robust_ossm_ekf,0.56,0.7,0.93,0.6321280992279715,593.75,0.5865095880105043,0.14319654434391815,0.012683823529411775,,,data/cohface_3_2.pkl
cohface_3_2,DoF,0.36,0.88,1.12,-0.9951129462019542,-375.0,0.6924663525215741,0.1464289051262061,0.7419451871657756,,,data/cohface_3_2.pkl
